date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
08/21/25,1100,MG,928.126052699107,1288,M,scrotal,2227,5,328.137,338.792,10.655,9.7,32.6,240
08/22/25,0947,MG,982.126.053.068.131,1291,F,non.repro,8447,1,4.581,7.595,3.014,10.7,68.2,230
08/22/25,1030,MG,982.126.053.068.131,1291,F,non.repro,8447,2,0.012,2.674,2.662,10.3,55.5,230
08/22/25,1033,MG,982.126.053.068.131,1291,F,non.repro,8447,3,0.058,9.372,9.314,7.8,30.1,230
08/22/25,1042,MG,982.126.053.068.131,1291,F,non.repro,8447,4,0.064,5.666,5.602,8.5,11.8,230
08/22/25,1005,MG,982.126.053.068.131,1291,F,non.repro,8447,5,0.014,4.07,4.056,15.7,69.9,230
08/24/25,0711,MG,982.126.053.062.970,1292,F,non.repro,8085,1,4.576,9.101,4.525,8.5,25.4,
08/24/25,0822,MG,982.126.053.062.970,1292,F,non.repro,8085,2,4.459,9.388,4.929,11.9,20.6,
08/24/25,0844,MG,982.126.053.062.970,1292,F,non.repro,8085,3,4.58,10.707,6.127,11.9,15.1,
08/24/25,0910,MG,982.126.053.062.970,1292,F,non.repro,8085,4,4.142,8.617,4.475,15.4,62.7,
08/24/25,1033,MG,982.126.053.062.970,1292,F,non.repro,8085,5,3.685,6.859,3.174,11.2,52.1,
08/10/25,0645,MG,982.126053068155,1283,M,scrotal,8084,1,23.205,36.502,13.297,7.3,34.2,250
08/10/25,0646,MG,982.126053068155,1283,M,scrotal,8084,2,359.79,419.381,59.591,7.8,37.8,250
08/10/25,0656,MG,982.126053068155,1283,M,scrotal,8084,3,620.303,622.894,2.591,9.6,50.8,250
08/10/25,0713,MG,982.126053068155,1283,M,scrotal,8084,4,4.314,13.706,9.392,8.2,36.5,250
08/10/25,0714,MG,982.126053068155,1283,M,scrotal,8084,5,36.422,49.396,12.974,9.4,48.4,250
08/10/25,0810,MG,982.126.052.699.527,1260,M,part.scrotal,2237,1,3.647,14.287,10.64,10.6,54.8,200
08/10/25,0815,MG,982.126.052.699.527,1260,M,part.scrotal,2237,2,321.126,336.645,15.519,10.4,52.4,200
08/10/25,0824,MG,982.126.052.699.527,1260,M,part.scrotal,2237,3,892.316,896.867,4.551,12.4,56.3,200
08/10/25,0845,MG,982.126.052.699.537,1260,M,part.scrotal,2237,4,612.167,618.836,6.669,8.9,65.9,200
08/10/25,0820,MG,982.126.052.699.537,1260,M,part.scrotal,2237,5,615.823,629.715,13.892,10.6,52.4,200
08/09/25,1403,MG,982.126.052.700.901,1287,F,non.repro,2264,1,799.753,801.813,2.06,14.5,27.6,230
08/09/25,1436,MG,982.126.052.700.901,1287,F,non.repro,2264,2,0.035,7.396,7.361,10.3,15.6,230
08/09/25,1558,MG,982.126.052.700.901,1287,F,non.repro,2264,3,0.024,4.868,4.844,7.3,39,230
08/09/25,1619,MG,982.126.052.700.901,1287,F,non.repro,2264,4,0.015,2.116,2.101,8.6,40,230
08/09/25,1628,MG,982.126.052.700.901,1287,F,non.repro,2264,5,0.232,9.753,9.521,9.9,9.4,230
