date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
8/2/2025,838,MG,982.126053026120,1275,M,part.scrotal,1133,1,4.384,16.462,12.078,11.4,52.9,240
8/2/2025,910,MG,982.126053026120,1275,M,part.scrotal,1133,2,274.05,285.477,11.427,7.8,58,240
8/2/2025,1110,MG,982.126053026120,1275,M,part.scrotal,1133,3,1.422,10.26,8.838,12.8,61.4,240
8/3/2025,950,MG,982.126053026120,1275,M,part.scrotal,1133,4,3.037,8.325,5.288,13.1,52,240
8/19/2025,726,MG,982.126053026120,1275,M,part.scrotal,1133,5,251.238,253.269,2.031,6.4,10.6,240
6/5/2025,1650,MG,982.126053060357,1268,F,non.repro,1155,1,356.444,359.625,3.181,8,28.4,220
6/5/2025,1700,MG,982.126053060357,1268,F,non.repro,1155,2,347.654,359.354,11.7,16.4,24.6,220
6/5/2025,1706,MG,982.126053060357,1268,F,non.repro,1155,3,698.657,708.029,9.372,8.8,55.6,220
6/5/2025,1807,MG,982.126053060357,1268,F,non.repro,1155,4,613.424,616.022,2.598,12.4,56.8,220
6/6/2025,515,MG,982.126053060357,1268,F,non.repro,1155,5,805.723,811.945,6.222,10.3,54,220
8/2/2025,939,MG,982.126.052.301.325,1278,M,scrotal,8079,1,1.982,17.216,15.234,11,52,260
8/2/2025,1009,MG,982.126.052.301.325,1278,M,scrotal,8079,2,860.646,871.65,11.004,10,85.1,260
8/3/2025,931,MG,982.126.052.301.325,1278,M,scrotal,8079,3,0.836,11.015,10.179,13.2,65.2,260
8/3/2025,953,MG,982.126.052.301.325,1278,M,scrotal,8079,4,4.245,15.484,11.239,14.8,59.1,260
8/3/2025,1006,MG,982.126.052.301.325,1278,M,scrotal,8079,5,775.159,785.015,9.856,9.9,52.2,260
8/2/2025,1024,MG,982.126053020630,1279,F,non.repro,8076,1,4.542,12.523,7.981,8.9,33.3,210
8/2/2025,1026,MG,982.126053020630,1279,F,non.repro,8076,2,155.489,171.142,15.653,8.1,37.1,210
8/2/2025,1033,MG,982.126053020630,1279,F,non.repro,8076,3,569.95,589.202,19.252,8.3,65.4,210
8/3/2025,806,MG,982.126053020630,1279,F,non.repro,8076,4,32.275,37.632,5.357,11.1,58.3,210
8/3/2025,807,MG,982.126053020630,1279,F,non.repro,8076,5,25.869,29.524,3.655,11.1,58.3,210
8/2/2025,1610,MG,982.126.052.305.552,1280,M,scrotal,8072,1,7.165,13.774,6.609,7.3,11.8,250
8/2/2025,1617,MG,982.126.052.305.552,1280,M,scrotal,8072,2,361.204,372.252,11.048,11.3,54.1,250
8/3/2025,907,MG,982.126.052.305.552,1280,M,scrotal,8072,3,20.199,32.935,12.736,7.9,15.1,250
8/3/2025,908,MG,982.126.052.305.552,1280,M,scrotal,8072,4,57.358,60.653,3.295,7.9,15.1,250
8/3/2025,911,MG,982.126.052.305.552,1280,M,scrotal,8072,5,323.814,333.995,10.181,10.8,59.6,250
8/9/2025,719,MG,982.126053030266,1282,M,scrotal,8075,1,4.384,28.349,23.965,7.2,40,220
8/9/2025,800,MG,982.126053030266,1282,M,scrotal,8075,2,4.336,15.297,10.961,7.4,35.2,220
8/9/2025,806,MG,982.126053030266,1282,M,scrotal,8075,3,335.603,346.331,10.728,7.4,35.8,220
8/9/2025,830,MG,982.126053030266,1282,M,scrotal,8075,4,0.057,10.753,10.696,7.9,25.3,220
8/9/2025,857,MG,982.126053030266,1282,M,scrotal,8075,5,2.994,11.083,8.089,7,33,220
8/9/2025,1011,MG,982.126053018941,1273,F,non.repro,1186,1,0.027,6.046,6.019,9.5,6.7,200
8/9/2025,1021,MG,982.126053018941,1273,F,non.repro,1186,2,615.204,617.317,2.113,7.4,2.9,200
8/9/2025,1022,MG,982.126053018941,1273,F,non.repro,1186,3,664.2499,672.726,8.4761,11.7,57.1,200
8/9/2025,1027,MG,982.126053018941,1273,F,non.repro,1186,4,0.049,7.912,7.863,8.9,49.6,200
8/9/2025,1032,MG,982.126053018941,1273,F,non.repro,1186,5,310.535,323.212,12.677,8.9,49.4,200
8/9/2025,1500,MG,982.126052700901,1289,F,past.lact,2266,1,0.05,7.117,7.067,7.3,9.8,220
8/9/2025,1534,MG,982.126052700901,1289,F,past.lact,2266,2,322.042,337.135,15.093,7.1,8.3,220
8/9/2025,1538,MG,982.126052700901,1289,F,past.lact,2266,3,614.903,623.12,8.217,7.2,7.3,220
8/9/2025,1604,MG,982.126052700901,1289,F,past.lact,2266,4,0.083,8.539,8.456,7.4,31.7,220
8/9/2025,1615,MG,982.126052700901,1289,F,past.lact,2266,5,0.043,8.236,8.193,7,9.3,220
8/10/2025,757,MG,982.126053064752,1286,F,past.lact,8082,1,4.364,10.281,5.917,9,9.5,235
8/10/2025,822,MG,982.126053064752,1286,F,past.lact,8082,2,4.189,18.214,14.025,7.1,7.8,235
8/10/2025,902,MG,982.126053064752,1286,F,past.lact,8082,3,4.334,12.647,8.313,7.3,63,235
8/10/2025,932,MG,982.126053064752,1286,F,past.lact,8082,4,4.408,13.969,9.561,8.3,9.1,235
8/19/2025,1214,MG,982.126053064752,1286,F,past.lact,8082,5,4.471,11.844,7.373,8.4,29.2,235
8/20/2025,945,MG,982.126053019888,1272,F,unk,1190,1,4.263,17.648,13.385,12,48.2,240
8/21/2025,936,MG,982.126053019888,1272,F,unk,1190,2,4.468,9.07,4.602,10.8,33.4,240
8/21/2025,1311,MG,982.126053019888,1272,F,unk,1190,3,758.311,759.831,1.52,7,21.3,240
8/21/2025,1350,MG,982.126053019888,1272,F,unk,1190,4,0.093,5.004,4.911,12.4,52,240
8/21/2025,1300,MG,982.126053019888,1272,F,unk,1190,5,2.665,9.99,7.325,9.4,41.9,240
8/21/2025,1038,MG,928.126052699107,1288,M,scrotal,2227,1,0.055,9.038,8.983,8.6,23.9,240
8/21/2025,1045,MG,928.126052699107,1288,M,scrotal,2227,2,321.613,328.333,6.72,8.9,29,240
8/21/2025,1047,MG,928.126052699107,1288,M,scrotal,2227,3,0.05,7.197,7.147,8.7,29,240
8/21/2025,1055,MG,928.126052699107,1288,M,scrotal,2227,4,0.055,12.505,12.45,9.6,29.4,240
8/21/2025,1100,MG,928.126052699107,1288,M,scrotal,2227,5,328.137,338.792,10.655,9.7,32.6,240
8/22/2025,947,MG,982.126.053.068.131,1291,F,non.repro,8447,1,4.581,7.595,3.014,10.7,68.2,230
8/22/2025,1030,MG,982.126.053.068.131,1291,F,non.repro,8447,2,0.012,2.674,2.662,10.3,55.5,230
8/22/2025,1033,MG,982.126.053.068.131,1291,F,non.repro,8447,3,0.058,9.372,9.314,7.8,30.1,230
8/22/2025,1042,MG,982.126.053.068.131,1291,F,non.repro,8447,4,0.064,5.666,5.602,8.5,11.8,230
8/22/2025,1005,MG,982.126.053.068.131,1291,F,non.repro,8447,5,0.014,4.07,4.056,15.7,69.9,230
8/24/2025,711,MG,982.126.053.062.970,1292,F,non.repro,8085,1,4.576,9.101,4.525,8.5,25.4,
8/24/2025,822,MG,982.126.053.062.970,1292,F,non.repro,8085,2,4.459,9.388,4.929,11.9,20.6,
8/24/2025,844,MG,982.126.053.062.970,1292,F,non.repro,8085,3,4.58,10.707,6.127,11.9,15.1,
8/24/2025,910,MG,982.126.053.062.970,1292,F,non.repro,8085,4,4.142,8.617,4.475,15.4,62.7,
8/24/2025,1033,MG,982.126.053.062.970,1292,F,non.repro,8085,5,3.685,6.859,3.174,11.2,52.1,
8/10/2025,645,MG,982.126053068155,1283,M,scrotal,8084,1,23.205,36.502,13.297,7.3,34.2,250
8/10/2025,646,MG,982.126053068155,1283,M,scrotal,8084,2,359.79,419.381,59.591,7.8,37.8,250
8/10/2025,656,MG,982.126053068155,1283,M,scrotal,8084,3,620.303,622.894,2.591,9.6,50.8,250
8/10/2025,713,MG,982.126053068155,1283,M,scrotal,8084,4,4.314,13.706,9.392,8.2,36.5,250
